업체명,지역,업종,전화번호,주소,담당자,메모,영업단계,등록일
신진철물,경기도 하남시,철물점,,경기도 하남시 신장로 217,,G21001 / 덕풍2동,미방문,
김포철물점,경기도 김포시,철물점,,경기도 김포시 대곶면 대곶로 422,,G21001 / 대곶면,미방문,
테콤철물공구,경기도 안산시 상록구,철물점,,경기도 안산시 상록구 수인로 714,,G21001 / 반월동,미방문,
태영전기철물,경기도 파주시,철물점,,경기도 파주시 통일로 576,,G21001 / 금촌1동,미방문,
만물슈퍼건재,경기도 용인시 처인구,건자재점,,경기도 용인시 처인구 남사읍 경기동로 388,,G20404 / 남사읍,미방문,
철물,경기도 용인시 처인구,철물점,,경기도 용인시 처인구 용문로 132,,G21001 / 중앙동,미방문,
등대철물,경기도 안산시 상록구,철물점,,경기도 안산시 상록구 본오로 67,,G21001 / 본오1동,미방문,
이화철물전기,경기도 화성시,철물점,,경기도 화성시 향남읍 평6길 63,,G21001 / 향남읍,미방문,
비봉건재,경기도 화성시,건자재점,,경기도 화성시 비봉면 양노로 125,,G21001 / 비봉면,미방문,
동부건재,경기도 광명시,건자재점,,경기도 광명시 서면로 63-70,,G21099 / 소하2동,미방문,
동북건재철물,경기도 평택시,건자재점,,경기도 평택시 원평로39번길 26-5,,G21001 / 원평동,미방문,
형제철물건제,경기도 성남시 중원구,철물점,,경기도 성남시 중원구 박석로25번길 16,,G21001 / 상대원1동,미방문,
성심공업사,경기도 성남시 수정구,공구점,,경기도 성남시 수정구 수정북로35번길 2,,G21202 / 태평3동,미방문,
오성공업사,경기도 평택시,공구점,,경기도 평택시 오성면 숙성길 213,,S20301 / 오성면,미방문,
영도철물건재상사,경기도 고양시 덕양구,건자재점,,경기도 고양시 덕양구 토당로 137,,G21001 / 능곡동,미방문,
부성전기;철물,경기도 부천시 오정구,철물점,,경기도 부천시 오정구 지양로158번길 12,,G21001 / 고강본동,미방문,
철물아가씨,경기도 수원시 영통구,철물점,,경기도 수원시 영통구 동탄원천로1109번길 100,,G21001 / 매탄2동,미방문,
대명카공업사,경기도 하남시,공구점,,경기도 하남시 초광로 152,,S20301 / 초이동,미방문,
세기철물공구,경기도 파주시,철물점,,경기도 파주시 월롱면 통일로 622,,G21001 / 월롱면,미방문,
스피드카공업사,경기도 화성시,공구점,,경기도 화성시 남양읍 화성로 1301,,S20301 / 남양읍,미방문,
성남공구철물,경기도 성남시 수정구,철물점,,경기도 성남시 수정구 수정로 222,,G21001 / 신흥3동,미방문,
문학농자재,경기도 화성시,농자재점,,경기도 화성시 정남면 서봉로 1006-4,,G21001 / 정남면,미방문,
1급비손모터스공업사,경기도 용인시 기흥구,공구점,,경기도 용인시 기흥구 청명산로 5,,S20301 / 영덕2동,미방문,
무진집수리전기철물,경기도 수원시 권선구,철물점,,경기도 수원시 권선구 덕영대로1106번길 2,,G21001 / 세류2동,미방문,
한성티앤아이승진공업사,경기도 남양주시,공구점,,경기도 남양주시 진접읍 금강로 1533-11,,G21001 / 진접읍,미방문,
새시대철물,경기도 군포시,철물점,,경기도 군포시 당산로126번길 4,,G21001 / 금정동,미방문,
현대카공업사,경기도 양평군,공구점,,경기도 양평군 서종면 북한강로 771,,S20301 / 서종면,미방문,
명진전기.철물,경기도 구리시,철물점,,경기도 구리시 안골로20번길 54,,G21201 / 교문1동,미방문,
대광철물,경기도 의정부시,철물점,,경기도 의정부시 둔야로 44,,G21001 / 흥선동,미방문,
평남철물,경기도 성남시 중원구,철물점,,경기도 성남시 중원구 산성대로434번길 10,,G21001 / 금광2동,미방문,
신정철물점,경기도 안산시 상록구,철물점,,경기도 안산시 상록구 샘골로 26,,G21001 / 본오1동,미방문,
남양공구마트,경기도 파주시,공구점,,경기도 파주시 운정로 133-5,,G21001 / 운정4동,미방문,
한국철물·수선,경기도 광명시,철물점,,경기도 광명시 새터로102번길 3,,S20601 / 광명7동,미방문,
신정전기철물보수,경기도 용인시 수지구,철물점,,경기도 용인시 수지구 풍덕천로 89,,G21001 / 풍덕천2동,미방문,
대성공업사,경기도 여주시,공구점,,경기도 여주시 가남읍 경충대로 1351,,S20301 / 가남읍,미방문,
동아보일러철물,경기도 성남시 수정구,철물점,,경기도 성남시 수정구 남문로117번길 1,,G21001 / 태평4동,미방문,
동양철물,경기도 가평군,철물점,,경기도 가평군 가평읍 석봉로 209,,G21001 / 가평읍,미방문,
오케이전기공사철물점,경기도 시흥시,철물점,,경기도 시흥시 대야로13번길 12,,G21001 / 대야동,미방문,
제일철물건재,경기도 안양시 동안구,건자재점,,경기도 안양시 동안구 관양로 269-9,,G21001 / 인덕원동,미방문,
경기팜농자재산업,경기도 이천시,농자재점,,경기도 이천시 마장면 중부대로644번길 168-6,,G21001 / 마장면,미방문,
산성철물,경기도 성남시 중원구,철물점,,경기도 성남시 중원구 산성대로 492-1,,G21001 / 은행2동,미방문,
수일철물,경기도 수원시 장안구,철물점,,경기도 수원시 장안구 파장천로58번길 77-2,,G21001 / 파장동,미방문,
동국철물건재,경기도 성남시 분당구,건자재점,,경기도 성남시 분당구 장미로86번길 14,,G21001 / 야탑1동,미방문,
신현대공업사,경기도 부천시 소사구,공구점,,경기도 부천시 소사구 경인로 406,,S20301 / 소사본동,미방문,
삼성카공업사,경기도 고양시 덕양구,공구점,,경기도 고양시 덕양구 호수로71번길 126,,S20301 / 능곡동,미방문,
원일철물,경기도 수원시 권선구,철물점,,경기도 수원시 권선구 세화로141번길 21-4,,G21001 / 서둔동,미방문,
진접종합건재,경기도 남양주시,건자재점,,경기도 남양주시 진접읍 경복대로 210,,G21001 / 진접읍,미방문,
비봉공업사,경기도 화성시,공구점,,경기도 화성시 남양읍 남양로930번길 34-6,,S20301 / 남양읍,미방문,
성진철물,경기도 안산시 상록구,철물점,,경기도 안산시 상록구 선진4길 41,,G21001 / 사이동,미방문,
국제공업사,경기도 화성시,공구점,,경기도 화성시 영통로27번길 5-8,,S20301 / 반월동,미방문,
동방건재사,경기도 안성시,건자재점,,경기도 안성시 중앙로 433,,G21001 / 안성1동,미방문,
성진철물공구,경기도 남양주시,철물점,,경기도 남양주시 수동면 소래비로 500,,G21001 / 수동면,미방문,
HM종합공구공업사,경기도 남양주시,공구점,,경기도 남양주시 경춘로 440,,G21001 / 다산2동,미방문,
신풍건재,경기도 평택시,건자재점,,경기도 평택시 송탄2로 4,,G21001 / 서정동,미방문,
현대정비공업사,경기도 의정부시,공구점,,경기도 의정부시 가능로159번길 4,,S20301 / 의정부1동,미방문,
하나철물점,경기도 부천시 소사구,철물점,,경기도 부천시 소사구 경인로193번길 15-1,,G21001 / 심곡본1동,미방문,
대호전기철물,경기도 양평군,철물점,,경기도 양평군 청운면 용두로 143,,G21001 / 청운면,미방문,
현대철물골재건재,경기도 포천시,건자재점,,경기도 포천시 가산면 가산로 282,,G21001 / 가산면,미방문,
성원철물,경기도 양평군,철물점,,경기도 양평군 지평면 지평의병로 82,,G21001 / 지평면,미방문,
대신종합철물상사,경기도 김포시,철물점,,경기도 김포시 감암로 77,,G21001 / 김포본동,미방문,
한일철물전기재료,경기도 구리시,철물점,,경기도 구리시 안골로 9,,G21001 / 교문1동,미방문,
중동공업사,경기도 이천시,공구점,,경기도 이천시 남천로 96,,S20301 / 중리동,미방문,
성안철물,경기도 의정부시,철물점,,경기도 의정부시 용현로 144,,G21001 / 송산2동,미방문,
용인철물,경기도 이천시,철물점,,경기도 이천시 영창로153번길 4,,G21001 / 관고동,미방문,
중앙철물,경기도 고양시 일산서구,철물점,,경기도 고양시 일산서구 대산로212번길 8-2,,G21001 / 대화동,미방문,
시화건재,경기도 안산시 단원구,건자재점,,경기도 안산시 단원구 상동로 102,,G21001 / 대부동,미방문,
삼보철물공구,경기도 양주시,철물점,,경기도 양주시 광적면 광적로 126,,G21001 / 광적면,미방문,
나래철물,경기도 고양시 덕양구,철물점,,경기도 고양시 덕양구 호국로742번길 66,,G21001 / 성사2동,미방문,
호동정비공업사,경기도 의정부시,공구점,,경기도 의정부시 범골로 34,,S20301 / 호원2동,미방문,
성남철물,경기도 김포시,철물점,,경기도 김포시 하성면 하성로 490,,G21001 / 하성면,미방문,
동덕철물공구,경기도 부천시 원미구,철물점,,경기도 부천시 원미구 부흥로 411,,G21001 / 심곡2동,미방문,
우리철물건재,경기도 안성시,건자재점,,경기도 안성시 고삼면 안성맞춤대로 1934,,G21001 / 고삼면,미방문,
오토월드카공업사,경기도 포천시,공구점,,경기도 포천시 군내면 포천로 933,,S20301 / 군내면,미방문,
한일철물,경기도 성남시 중원구,철물점,,경기도 성남시 중원구 성남대로 1142,,G21001 / 성남동,미방문,
서진철물,경기도 부천시 소사구,철물점,,경기도 부천시 소사구 심곡로27번길 23,,G21001 / 심곡본1동,미방문,
원흥카공업사,경기도 고양시 덕양구,공구점,,경기도 고양시 덕양구 권율대로 450-1,,S20301 / 흥도동,미방문,
발안유통공구상가관리단,경기도 화성시,공구점,,경기도 화성시 팔탄면 서해로987번길 14,,N10101 / 팔탄면,미방문,
LG부분정비공업사,경기도 파주시,공구점,,경기도 파주시 월롱면 엘지로157번길 5,,S20301 / 월롱면,미방문,
패밀리전문정비공업사,경기도 광명시,공구점,,경기도 광명시 범안로 963,,S20301 / 하안1동,미방문,
진성철물공구건재,경기도 화성시,건자재점,,경기도 화성시 팔탄면 31만세로 755,,G21001 / 팔탄면,미방문,
성심공업사,경기도 하남시,공구점,,경기도 하남시 덕풍로81번길 51,,G21099 / 덕풍3동,미방문,
주신종합철물,경기도 부천시 오정구,철물점,,경기도 부천시 오정구 평천로751번길 16,,G21001 / 신흥동,미방문,
제일지물，철물,경기도 성남시 수정구,철물점,,경기도 성남시 수정구 수정남로 13,,G21002 / 수진2동,미방문,
스마일철물,경기도 남양주시,철물점,,경기도 남양주시 석실로 675,,G21001 / 금곡동,미방문,
오케이공업사,경기도 평택시,공구점,,경기도 평택시 포승읍 서동대로 527,,S20301 / 포승읍,미방문,
유림철물,경기도 군포시,철물점,,경기도 군포시 산본천로 185,,G21001 / 산본1동,미방문,
장원철물,경기도 이천시,철물점,,경기도 이천시 장호원읍 장터로61번길 13,,G21001 / 장호원읍,미방문,
중앙철물,경기도 양평군,철물점,,경기도 양평군 양평읍 양평대교길 7-1,,G21001 / 양평읍,미방문,
새움공업사,경기도 파주시,공구점,,경기도 파주시 조리읍 고봉로 1027,,G21305 / 조리읍,미방문,
송신공업사,경기도 평택시,공구점,,경기도 평택시 팽성읍 사거리길 59,,S20301 / 팽성읍,미방문,
가까운철물점,경기도 군포시,철물점,,경기도 군포시 번영로 380-1,,G21001 / 오금동,미방문,
인성농자재,경기도 평택시,농자재점,,경기도 평택시 진위면 경기대로 1774,,G21001 / 진위면,미방문,
화산건재,경기도 포천시,건자재점,,경기도 포천시 가산면 선마로 232-1,,G21001 / 가산면,미방문,
고주내건재,경기도 양주시,건자재점,,경기도 양주시 부흥로 2070,,G21001 / 양주2동,미방문,
미래전기철물,경기도 안양시 만안구,철물점,,경기도 안양시 만안구 양화로151번길 7-18,,G21001 / 박달동,미방문,
율면철물,경기도 이천시,철물점,,경기도 이천시 율면 고당로 122-1,,G21001 / 율면,미방문,
영동철물건재,경기도 화성시,건자재점,,경기도 화성시 동탄기흥로257번길 15,,G21001 / 동탄6동,미방문,
종합공구철물,경기도 안성시,철물점,,경기도 안성시 안성맞춤대로 897-1,,G21001 / 안성2동,미방문,
신원철물,경기도 이천시,철물점,,경기도 이천시 부발읍 중부대로 1811,,G21001 / 부발읍,미방문,
하나농자재,경기도 안성시,농자재점,,경기도 안성시 죽산면 죽양대로 95-4,,G22199 / 죽산면,미방문,
차사랑공업사,경기도 시흥시,공구점,,경기도 시흥시 신천로44번길 2,,S20301 / 신천동,미방문,
샘철물,경기도 연천군,철물점,,경기도 연천군 전곡읍 청정로 2460,,G21001 / 전곡읍,미방문,
진건철물,경기도 남양주시,철물점,,경기도 남양주시 진건읍 진건오남로 111-4,,G21001 / 진건읍,미방문,
에스카공업사,경기도 양주시,공구점,,경기도 양주시 칠봉산로 50,,S20301 / 옥정1동,미방문,
금호공업사,경기도 용인시 처인구,공구점,,경기도 용인시 처인구 양지면 죽양대로2016번길 30,,S20301 / 양지면,미방문,
건국공업사,경기도 고양시 일산서구,공구점,,경기도 고양시 일산서구 성저로 53-12,,S20301 / 대화동,미방문,
유건생활철물,경기도 광명시,철물점,,경기도 광명시 덕안로104번길 17,,G21001 / 일직동,미방문,
제태중기공업사,경기도 용인시 처인구,공구점,,경기도 용인시 처인구 남사읍 통삼로171번길 6,,S20301 / 남사읍,미방문,
가교공구철물,경기도 수원시 팔달구,철물점,,경기도 수원시 팔달구 팔달로120번길 7,,G21001 / 화서1동,미방문,
일광종합건재;철물,경기도 광주시,건자재점,,경기도 광주시 이배재로 74,,G21001 / 탄벌동,미방문,
김가철물점,경기도 성남시 분당구,철물점,,경기도 성남시 분당구 황새울로108번길 4,,G21001 / 정자동,미방문,
세일공업사,경기도 여주시,공구점,,경기도 여주시 가남읍 본두3길 15,,S20301 / 가남읍,미방문,
고양철물，건재,경기도 고양시 덕양구,건자재점,,경기도 고양시 덕양구 통일로 1005-2,,G21001 / 관산동,미방문,
원명공업사,경기도 이천시,공구점,,경기도 이천시 부발읍 중부대로 2019,,S20301 / 부발읍,미방문,
학성카공업사,경기도 성남시 중원구,공구점,,경기도 성남시 중원구 산성대로442번길 15,,S20301 / 금광2동,미방문,
동우건재,경기도 의정부시,건자재점,,경기도 의정부시 신흥로 202,,G21001 / 의정부2동,미방문,
김성준정비공업사,경기도 수원시 팔달구,공구점,,경기도 수원시 팔달구 동말로 94,,S20301 / 고등동,미방문,
적성철물,경기도 파주시,철물점,,경기도 파주시 적성면 솥뒤로 91,,G21001 / 적성면,미방문,
승화철물,경기도 안산시 상록구,철물점,,경기도 안산시 상록구 오목로 10,,G21001 / 본오1동,미방문,
JK공업사,경기도 파주시,공구점,,경기도 파주시 아리랑로 8,,S20301 / 금촌1동,미방문,
민락전기철물,경기도 의정부시,철물점,,경기도 의정부시 용현로159번길 6,,G21001 / 송산2동,미방문,
믿음철물인테리어,경기도 고양시 일산동구,건자재점,,경기도 고양시 일산동구 호수로430번길 54,,M11201 / 백석2동,미방문,
수원철물건재,경기도 수원시 영통구,건자재점,,경기도 수원시 영통구 삼성로 263,,G21001 / 원천동,미방문,
한화농자재건재,경기도 안성시,농자재점,,경기도 안성시 중앙로 136,,G21099 / 안성2동,미방문,
대광철물,경기도 연천군,철물점,,경기도 연천군 신서면 도대로7번길 59,,G21001 / 신서면,미방문,
배달건재,경기도 여주시,건자재점,,경기도 여주시 산북면 상품로 59,,G21001 / 산북면,미방문,
철물유통,경기도 부천시 원미구,철물점,,경기도 부천시 원미구 부일로 312,,G21202 / 상동,미방문,
매산공업사,경기도 용인시 처인구,공구점,,경기도 용인시 처인구 모현읍 곡현로656번길 2-12,,S20301 / 모현읍,미방문,
선유공업사,경기도 파주시,공구점,,경기도 파주시 문산읍 장승배기로 1,,S20301 / 문산읍,미방문,
한양공업사,경기도 안성시,공구점,,경기도 안성시 보개면 진안로 1227,,S20301 / 보개면,미방문,
제일카공업사,경기도 안양시 만안구,공구점,,경기도 안양시 만안구 덕천로34번길 28,,S20301 / 안양7동,미방문,
하북철물건재,경기도 평택시,건자재점,,경기도 평택시 진위면 진위서로 28,,G21001 / 진위면,미방문,
삼거리철물점,경기도 화성시,철물점,,경기도 화성시 송산면 송산포도로 131,,G21001 / 송산면,미방문,
대성건축설비철물,경기도 구리시,철물점,,경기도 구리시 검배로60번길 29,,G21001 / 수택2동,미방문,
제일공업사,경기도 동두천시,공구점,,경기도 동두천시 평화로 3055,,S20301 / 소요동,미방문,
나성건재,경기도 안양시 만안구,건자재점,,경기도 안양시 만안구 양화로72번길 83-35,,G21001 / 안양3동,미방문,
건영설비철물,경기도 고양시 일산서구,철물점,,경기도 고양시 일산서구 성저로 76,,G21001 / 대화동,미방문,
신용철물건재,경기도 오산시,건자재점,,경기도 오산시 삼미로47번길 5,,G21001 / 신장2동,미방문,
석수철물,경기도 안양시 만안구,철물점,,경기도 안양시 만안구 와룡로 21-1,,G21001 / 충훈동,미방문,
대명철물설비,경기도 수원시 권선구,철물점,,경기도 수원시 권선구 입북로 37,,G21001 / 입북동,미방문,
태양철물,경기도 이천시,철물점,,경기도 이천시 모가면 진상미로 1315,,G21001 / 모가면,미방문,
대원공업사,경기도 남양주시,공구점,,경기도 남양주시 진접읍 부마로 22,,S20301 / 진접읍,미방문,
대현카공업사,경기도 파주시,공구점,,경기도 파주시 시청로 57,,S20301 / 금촌1동,미방문,
부광철물,경기도 여주시,철물점,,경기도 여주시 여흥로57번길 20,,G21001 / 중앙동,미방문,
충남철물,경기도 용인시 처인구,철물점,,경기도 용인시 처인구 금학로 361,,G21001 / 중앙동,미방문,
현대철물,경기도 남양주시,철물점,,경기도 남양주시 오남읍 진건오남로 832,,G21001 / 오남읍,미방문,
우드;철물;건재;건설,경기도 포천시,건자재점,,경기도 포천시 일동면 화동로653번길 1,,G21001 / 일동면,미방문,
아람철물,경기도 수원시 권선구,철물점,,경기도 수원시 권선구 세권로 199,,G21001 / 권선1동,미방문,
삼오공업사,경기도 수원시 권선구,공구점,,경기도 수원시 권선구 서부로 1822-17,,S20301 / 서둔동,미방문,
제일종합설비.철물,경기도 수원시 권선구,철물점,,경기도 수원시 권선구 경수대로325번길 15,,G21001 / 세류3동,미방문,
삼송철물건재,경기도 고양시 덕양구,건자재점,,경기도 고양시 덕양구 삼송로 183,,G21001 / 삼송1동,미방문,
부성철물전기,경기도 안산시 상록구,철물점,,경기도 안산시 상록구 광덕산3로 45,,G21001 / 월피동,미방문,
호성공구마트,경기도 포천시,공구점,,경기도 포천시 소흘읍 호국로 740,,G21001 / 소흘읍,미방문,
금남철물,경기도 남양주시,철물점,,경기도 남양주시 화도읍 북한강로 1422,,G21001 / 화도읍,미방문,
금진철물,경기도 수원시 권선구,철물점,,경기도 수원시 권선구 정조로513번길 3,,G21001 / 세류2동,미방문,
오성공구철물,경기도 부천시 오정구,철물점,,경기도 부천시 오정구 오정로 208,,G21001 / 오정동,미방문,
신역곡카공업사,경기도 부천시 소사구,공구점,,경기도 부천시 소사구 범안로58번길 15,,S20301 / 괴안동,미방문,
형제공업사,경기도 안산시 상록구,공구점,,경기도 안산시 상록구 수인로 1957,,S20301 / 안산동,미방문,
광탄철물점,경기도 양평군,철물점,,경기도 양평군 용문면 용문로 811,,G21001 / 용문면,미방문,
수성철물,경기도 수원시 장안구,철물점,,경기도 수원시 장안구 조원로 107,,G21001 / 조원1동,미방문,
양원현대공업사,경기도 연천군,공구점,,경기도 연천군 전곡읍 양연로 1144,,S20301 / 전곡읍,미방문,
삼호종합건재,경기도 여주시,건자재점,,경기도 여주시 점동면 청안로 156-3,,G21001 / 점동면,미방문,
광성철물，건재,경기도 남양주시,건자재점,,경기도 남양주시 사릉로34번길 44,,G21001 / 금곡동,미방문,
만석철물건재,경기도 양주시,건자재점,,경기도 양주시 백석읍 중앙로 186,,G21003 / 백석읍,미방문,
태장공업사,경기도 화성시,공구점,,경기도 화성시 효행로1374번길 18-8,,S20301 / 반월동,미방문,
운정철물건재,경기도 파주시,건자재점,,경기도 파주시 운정1길 72,,G21001 / 운정4동,미방문,
남동전기철물,경기도 부천시 소사구,철물점,,경기도 부천시 소사구 성주로 207-1,,G21001 / 심곡본동,미방문,
현민전기철물,경기도 수원시 영통구,철물점,,경기도 수원시 영통구 영통로130번길 31,,G21001 / 망포1동,미방문,
태풍카공업사,경기도 군포시,공구점,,경기도 군포시 번영로 587,,S20301 / 금정동,미방문,
은하건재사,경기도 안양시 만안구,건자재점,,경기도 안양시 만안구 덕천로 105,,G21001 / 안양7동,미방문,
서광철물인테리어,경기도 안양시 동안구,건자재점,,경기도 안양시 동안구 관악대로345번길 23,,G21001 / 관양동,미방문,
문화철물,경기도 오산시,철물점,,경기도 오산시 오산로 286,,G21001 / 중앙동,미방문,
석산철물건재,경기도 하남시,건자재점,,경기도 하남시 조정대로 36,,G21001 / 미사3동,미방문,
효성철물건업,경기도 남양주시,철물점,,경기도 남양주시 오남읍 진건오남로929번길 21-15,,G21001 / 오남읍,미방문,
동우종합철물건재,경기도 용인시 처인구,건자재점,,경기도 용인시 처인구 이동읍 구수동로 44,,G21001 / 이동읍,미방문,
경기철물,경기도 남양주시,철물점,,경기도 남양주시 진접읍 금강로 1243,,G21001 / 진접읍,미방문,
동일건재철물,경기도 파주시,건자재점,,경기도 파주시 운정역길 285-8,,G21001 / 운정4동,미방문,
하봉암철물,경기도 동두천시,철물점,,경기도 동두천시 하봉암로 5,,G21001 / 소요동,미방문,
원당철물,경기도 고양시 덕양구,철물점,,경기도 고양시 덕양구 원당로 51,,G21001 / 주교동,미방문,
흥성공업사,경기도 남양주시,공구점,,경기도 남양주시 와부읍 덕소로 33-7,,S20301 / 와부읍,미방문,
동인철물집수리,경기도 안양시 만안구,철물점,,경기도 안양시 만안구 안양로405번길 30,,G21001 / 안양2동,미방문,
주공철물,경기도 부천시 소사구,철물점,,경기도 부천시 소사구 소사로78번길 72,,G21001 / 소사본1동,미방문,
제일철물건재,경기도 안산시 단원구,건자재점,,경기도 안산시 단원구 와동로 105,,G21001 / 와동,미방문,
부일농기구부속,경기도 평택시,농자재점,,경기도 평택시 평남로 175,,G21001 / 원평동,미방문,
중동전기철물,경기도 부천시 원미구,철물점,,경기도 부천시 원미구 조마루로291번길 25,,G22199 / 중1동,미방문,
안산종합공업사,경기도 안산시 상록구,공구점,,경기도 안산시 상록구 선진6길 46,,S20301 / 사이동,미방문,
반강철물건재,경기도 파주시,건자재점,,경기도 파주시 조리읍 봉천로 36,,G21001 / 조리읍,미방문,
충남철물.설비,경기도 안산시 상록구,철물점,,경기도 안산시 상록구 조구나리길 10,,G21001 / 이동,미방문,
만선현대공업사,경기도 광주시,공구점,,경기도 광주시 곤지암읍 만선로59번길 3,,S20301 / 곤지암읍,미방문,
오뚜기철물점,경기도 이천시,철물점,,경기도 이천시 백사면 현방로 78,,G21001 / 백사면,미방문,
아울렛철물건재,경기도 이천시,건자재점,,경기도 이천시 마장면 중부대로533번길 68,,G21001 / 마장면,미방문,
가남대형차중기공업사,경기도 이천시,공구점,,경기도 이천시 부발읍 경충대로 1900,,S20301 / 부발읍,미방문,
이삭종합건재,경기도 양평군,건자재점,,경기도 양평군 양서면 목왕로 24-9,,G21001 / 양서면,미방문,
쌍용달인공업사,경기도 파주시,공구점,,경기도 파주시 시청로 314,,S20301 / 금촌3동,미방문,
금성철물,경기도 용인시 처인구,철물점,,경기도 용인시 처인구 포곡읍 곡현로 195,,G21001 / 포곡읍,미방문,
금성전기철물,경기도 안양시 동안구,철물점,,경기도 안양시 동안구 관평로 324,,G21201 / 관양동,미방문,
모든기계공구,경기도 광명시,공구점,,경기도 광명시 오리로 405,,N11199 / 소하2동,미방문,
문화철물건재,경기도 이천시,건자재점,,경기도 이천시 설성면 진상미로665번길 2-3,,G21001 / 설성면,미방문,
현대마스타공업사,경기도 김포시,공구점,,경기도 김포시 양촌읍 삼도공단로 78,,S20301 / 양촌읍,미방문,
광진카공업사,경기도 성남시 수정구,공구점,,경기도 성남시 수정구 산성대로 415,,S20301 / 단대동,미방문,
대일철물농자재,경기도 남양주시,농자재점,,경기도 남양주시 경춘로 802,,G21001 / 양정동,미방문,
현대건재건축,경기도 고양시 일산서구,건자재점,,경기도 고양시 일산서구 덕이로292번길 54,,G21001 / 덕이동,미방문,
오복카공업사,경기도 성남시 중원구,공구점,,경기도 성남시 중원구 시민로 103,,S20301 / 성남동,미방문,
영재금속공업사제이제이텔레콤,경기도 광명시,공구점,,경기도 광명시 오리로 948,,G20802 / 광명3동,미방문,
새로나전기철물,경기도 성남시 수정구,철물점,,경기도 성남시 수정구 제일로188번길 16-2,,G21201 / 태평3동,미방문,
삼양건재,경기도 부천시 오정구,건자재점,,경기도 부천시 오정구 소사로 793,,G21001 / 원종2동,미방문,
문화종합철물건재,경기도 포천시,건자재점,,경기도 포천시 호국로 1181,,G21001 / 선단동,미방문,
고양철물,경기도 고양시 덕양구,철물점,,경기도 고양시 덕양구 토당로104번길 50,,G21001 / 능곡동,미방문,
다온종합공구상사,경기도 이천시,공구점,,경기도 이천시 경충대로 2628,,G21001 / 중리동,미방문,
태성중기공업사,경기도 화성시,공구점,,경기도 화성시 향남읍 서봉로 395-43,,S20301 / 향남읍,미방문,
신진철물,경기도 남양주시,철물점,,경기도 남양주시 오남읍 양지로 332,,G21001 / 오남읍,미방문,
대영철물건재,경기도 여주시,건자재점,,경기도 여주시 북내면 여양2로 250,,G21001 / 북내면,미방문,
충남철물,경기도 군포시,철물점,,경기도 군포시 군포로761번길 64,,G21001 / 산본1동,미방문,
발안건재,경기도 화성시,건자재점,,경기도 화성시 향남읍 배터길 26-4,,G21001 / 향남읍,미방문,
대곶철물,경기도 김포시,철물점,,경기도 김포시 대곶면 대명항로 246-9,,G21001 / 대곶면,미방문,
동산건재,경기도 양주시,건자재점,,경기도 양주시 장흥면 일영로 385,,G21001 / 장흥면,미방문,
이화적재함공업사,경기도 용인시 처인구,공구점,,경기도 용인시 처인구 백암면 죽양대로 784,,S20301 / 백암면,미방문,
달인카공업사,경기도 고양시 덕양구,공구점,,경기도 고양시 덕양구 원당로59번길 11-15,,S20301 / 주교동,미방문,
명인열쇠철물,경기도 수원시 영통구,철물점,,경기도 수원시 영통구 덕영대로1555번길 20,,G21001 / 영통2동,미방문,
이천공업사,경기도 이천시,공구점,,경기도 이천시 호법면 중부대로798번길 10,,S20301 / 호법면,미방문,
태광철물,경기도 수원시 장안구,철물점,,경기도 수원시 장안구 연무로 36,,G21001 / 연무동,미방문,
광천철물건재,경기도 안산시 상록구,건자재점,,경기도 안산시 상록구 석호로 215,,G21001 / 사동,미방문,
나래수도철물&나래종합인테리어,경기도 안산시 상록구,건자재점,,경기도 안산시 상록구 샘골로 95,,G21001 / 본오1동,미방문,
광교역철물,경기도 수원시 영통구,철물점,,경기도 수원시 영통구 대학3로 7,,G21001 / 광교1동,미방문,
대림철물,경기도 의정부시,철물점,,경기도 의정부시 행복로 53,,G21001 / 의정부1동,미방문,
계남부분정비공업사,경기도 부천시 원미구,공구점,,경기도 부천시 원미구 부흥로240번길 7,,S20301 / 중2동,미방문,
세형공업사,경기도 고양시 일산동구,공구점,,경기도 고양시 일산동구 지영로 190,,S20301 / 고봉동,미방문,
가능철물,경기도 의정부시,철물점,,경기도 의정부시 신촌로17번길 27,,G21001 / 가능동,미방문,
봉화철물건재,경기도 김포시,건자재점,,경기도 김포시 중봉1로 75,,G21001 / 김포본동,미방문,
서하남공업사,경기도 하남시,공구점,,경기도 하남시 서하남로48번길 22,,S20301 / 감일동,미방문,
중앙철물,경기도 양평군,철물점,,경기도 양평군 용문면 용문로 361-1,,G21001 / 용문면,미방문,
진철물,경기도 부천시 오정구,철물점,,경기도 부천시 오정구 원종로119번길 52,,G21001 / 고강1동,미방문,
만선공업사,경기도 광주시,공구점,,경기도 광주시 곤지암읍 만선로 46,,S20301 / 곤지암읍,미방문,
２２세기철물,경기도 안산시 단원구,철물점,,경기도 안산시 단원구 선부광장1로 166,,G21001 / 선부1동,미방문,
원삼철물,경기도 수원시 영통구,철물점,,경기도 수원시 영통구 영통로345번길 24-1,,G21001 / 영통3동,미방문,
경인안전철물상사,경기도 시흥시,철물점,,경기도 시흥시 수인로3381번길 37,,G21001 / 신천동,미방문,
신화종합철물공구,경기도 구리시,철물점,,경기도 구리시 안골로 22,,G21001 / 교문1동,미방문,
마룡공업사,경기도 양평군,공구점,,경기도 양평군 용문면 용문로 506,,S20301 / 용문면,미방문,
