업체명,지역,업종,전화번호,주소,담당자,메모,영업단계,등록일
미래철물,강원특별자치도 정선군,철물점,,강원특별자치도 정선군 여량면 서동로 2897,,G21001 / 여량면,미방문,
대성철물,강원특별자치도 태백시,철물점,,강원특별자치도 태백시 황지로 291-1,,G21001 / 황연동,미방문,
대성건재.공구,강원특별자치도 홍천군,공구점,,강원특별자치도 홍천군 북방면 홍천로 165,,G21001 / 북방면,미방문,
우주카공업사,강원특별자치도 횡성군,공구점,,강원특별자치도 횡성군 횡성읍 입석로 79,,S20301 / 횡성읍,미방문,
대창철물,강원특별자치도 원주시,철물점,,강원특별자치도 원주시 송림길 48-5,,G21001 / 단구동,미방문,
중앙철물점,강원특별자치도 춘천시,철물점,,강원특별자치도 춘천시 중앙로 87,,G21001 / 약사명동,미방문,
역전철물건재,강원특별자치도 정선군,건자재점,,강원특별자치도 정선군 정선읍 녹송로 109,,G21001 / 정선읍,미방문,
동양철물건재,강원특별자치도 정선군,건자재점,,강원특별자치도 정선군 여량면 서동로 2932,,G21001 / 여량면,미방문,
진성공업사,강원특별자치도 원주시,공구점,,강원특별자치도 원주시 문막읍 원문로 2100,,S20301 / 문막읍,미방문,
춘천철물,강원특별자치도 춘천시,철물점,,강원특별자치도 춘천시 중앙로 85-1,,G21001 / 약사명동,미방문,
상호철물자재,강원특별자치도 원주시,철물점,,강원특별자치도 원주시 평원로 32-1,,G21001 / 중앙동,미방문,
현대만종공업사,강원특별자치도 원주시,공구점,,강원특별자치도 원주시 호저면 운동들2길 21-10,,S20301 / 호저면,미방문,
청아철물건축,강원특별자치도 동해시,철물점,,강원특별자치도 동해시 단봉길 23,,G21001 / 북평동,미방문,
제일철물점,강원특별자치도 양구군,철물점,,강원특별자치도 양구군 양구읍 비봉로 50,,G21001 / 양구읍,미방문,
현대철물,강원특별자치도 원주시,철물점,,강원특별자치도 원주시 문막읍 문막시장1길 67,,G21001 / 문막읍,미방문,
신승공업사,강원특별자치도 원주시,공구점,,강원특별자치도 원주시 판부면 서곡길 113,,M10502 / 판부면,미방문,
육일공업사,강원특별자치도 태백시,공구점,,강원특별자치도 태백시 상장로 10,,S20301 / 상장동,미방문,
영동철물,강원특별자치도 정선군,철물점,,강원특별자치도 정선군 고한읍 고한6길 46-1,,G21001 / 고한읍,미방문,
하이트공업사,강원특별자치도 홍천군,공구점,,강원특별자치도 홍천군 북방면 홍천로 111,,S20301 / 북방면,미방문,
부자공업사,강원특별자치도 동해시,공구점,,강원특별자치도 동해시 용정로 40-2,,S20301 / 북삼동,미방문,
팔봉철물,강원특별자치도 홍천군,철물점,,강원특별자치도 홍천군 서면 한치골길 822,,G21001 / 서면,미방문,
경포철물,강원특별자치도 강릉시,철물점,,강원특별자치도 강릉시 안현로244번길 5,,G21001 / 경포동,미방문,
신흥철물건재,강원특별자치도 평창군,건자재점,,강원특별자치도 평창군 대화면 대화2길 6,,G21001 / 대화면,미방문,
거성포장철물,강원특별자치도 평창군,철물점,,강원특별자치도 평창군 진부면 진벌2길 47,,G21001 / 진부면,미방문,
우천카공업사,강원특별자치도 횡성군,공구점,,강원특별자치도 횡성군 우천면 한우로 1436,,S20301 / 우천면,미방문,
무실철물전기,강원특별자치도 원주시,철물점,,강원특별자치도 원주시 만대로 170,,G21001 / 무실동,미방문,
동면철물건재,강원특별자치도 홍천군,건자재점,,강원특별자치도 홍천군 영귀미면 공작산로 520,,G21001 / 영귀미면,미방문,
서울농자재,강원특별자치도 홍천군,농자재점,,강원특별자치도 홍천군 화촌면 성산로 199-3,,G21001 / 화촌면,미방문,
부흥종합철물건재,강원특별자치도 속초시,건자재점,,강원특별자치도 속초시 소평로 139,,G21001 / 조양동,미방문,
신광철물,강원특별자치도 삼척시,철물점,,강원특별자치도 삼척시 도계읍 도계로 193-2,,G21001 / 도계읍,미방문,
부광건재철물,강원특별자치도 인제군,건자재점,,강원특별자치도 인제군 서화면 천도로 156,,G21001 / 서화면,미방문,
현대건재,강원특별자치도 홍천군,건자재점,,강원특별자치도 홍천군 북방면 홍천로 182-8,,G21003 / 북방면,미방문,
우주공업사,강원특별자치도 삼척시,공구점,,강원특별자치도 삼척시 동해대로 4174-11,,S20301 / 교동,미방문,
양평공업사,강원특별자치도 영월군,공구점,,강원특별자치도 영월군 주천면 송학주천로 1467,,S20301 / 주천면,미방문,
화천철물건재,강원특별자치도 화천군,건자재점,,강원특별자치도 화천군 화천읍 노신로 34,,G21001 / 화천읍,미방문,
한일철물,강원특별자치도 강릉시,철물점,,강원특별자치도 강릉시 임영로 171,,G21001 / 중앙동,미방문,
인제동신공업사,강원특별자치도 인제군,공구점,,강원특별자치도 인제군 인제읍 인제로 49,,S20301 / 인제읍,미방문,
영도종합정비공업사,강원특별자치도 원주시,공구점,,강원특별자치도 원주시 지정면 질마재로 4,,S20301 / 지정면,미방문,
보생철물,강원특별자치도 양양군,철물점,,강원특별자치도 양양군 양양읍 남문7길 7-6,,G21001 / 양양읍,미방문,
원주철물,강원특별자치도 평창군,철물점,,강원특별자치도 평창군 평창읍 송학로 9,,G21001 / 평창읍,미방문,
남산카공업사,강원특별자치도 평창군,공구점,,강원특별자치도 평창군 대화면 던짓골길 3-16,,S20301 / 대화면,미방문,
동면철물점,강원특별자치도 양구군,철물점,,강원특별자치도 양구군 동면 남동로 647,,G21001 / 동면,미방문,
쌍용카정비공업사,강원특별자치도 원주시,공구점,,강원특별자치도 원주시 흥양로18번길 19-11,,S20301 / 태장2동,미방문,
국제장식철물,강원특별자치도 원주시,철물점,,강원특별자치도 원주시 무실로 51,,G21001 / 원인동,미방문,
항도공업사,강원특별자치도 동해시,공구점,,강원특별자치도 동해시 동해대로 5026,,S20301 / 북삼동,미방문,
신흥공업사,강원특별자치도 원주시,공구점,,강원특별자치도 원주시 강변로 577,,S20301 / 중앙동,미방문,
대영철물경동나비엔,강원특별자치도 인제군,철물점,,강원특별자치도 인제군 인제읍 인제로209번길 3,,G21001 / 인제읍,미방문,
문혜철물,강원특별자치도 철원군,철물점,,강원특별자치도 철원군 갈말읍 두루미로 87,,G21001 / 갈말읍,미방문,
영진종합건재,강원특별자치도 춘천시,건자재점,,강원특별자치도 춘천시 동면 사우로 241,,G21001 / 동면,미방문,
진보카공업사,강원특별자치도 고성군,공구점,,강원특별자치도 고성군 죽왕면 공설묘원길 14,,S20301 / 죽왕면,미방문,
영동공업사,강원특별자치도 속초시,공구점,,강원특별자치도 속초시 동해대로 3974,,S20301 / 청호동,미방문,
근덕철물설비건재,강원특별자치도 삼척시,건자재점,,강원특별자치도 삼척시 근덕면 삼척로 3682,,G21001 / 근덕면,미방문,
강원철물상사,강원특별자치도 원주시,철물점,,강원특별자치도 원주시 개봉교길 2,,G21001 / 개운동,미방문,
영동공업사,강원특별자치도 강릉시,공구점,,강원특별자치도 강릉시 강변로534번길 12-5,,S20301 / 성덕동,미방문,
대림공업사,강원특별자치도 원주시,공구점,,강원특별자치도 원주시 치악로1580번길 23,,S20301 / 단구동,미방문,
춘천우성철물,강원특별자치도 춘천시,철물점,,강원특별자치도 춘천시 동면 가래울길 6-1,,G21001 / 동면,미방문,
안동철물,강원특별자치도 영월군,철물점,,강원특별자치도 영월군 상동읍 상동시장길 17,,G21001 / 상동읍,미방문,
해인만능철물,강원특별자치도 춘천시,철물점,,강원특별자치도 춘천시 후석로 256,,G21001 / 후평3동,미방문,
영석공업사,강원특별자치도 영월군,공구점,,강원특별자치도 영월군 산솔면 영월로 3742,,S20301 / 산솔면,미방문,
태광철물점,강원특별자치도 강릉시,철물점,,강원특별자치도 강릉시 명주로 36,,G21001 / 중앙동,미방문,
사팔철물점,강원특별자치도 평창군,철물점,,강원특별자치도 평창군 진부면 진부중앙로 64-4,,G21001 / 진부면,미방문,
홍천군산림조합종합건재,강원특별자치도 홍천군,건자재점,,강원특별자치도 홍천군 화촌면 설악로 2583,,G21003 / 화촌면,미방문,
신림건자재농자재마트,강원특별자치도 원주시,농자재점,,강원특별자치도 원주시 신림면 마지동길 124,,G21001 / 신림면,미방문,
서석현대공업사,강원특별자치도 홍천군,공구점,,강원특별자치도 홍천군 서석면 아미산길 40-3,,S20301 / 서석면,미방문,
일성철물,강원특별자치도 태백시,철물점,,강원특별자치도 태백시 시장안2길 19-1,,G21001 / 황지동,미방문,
동송철물건재,강원특별자치도 철원군,건자재점,,강원특별자치도 철원군 동송읍 이평3로 140,,G21001 / 동송읍,미방문,
천곡철물상사,강원특별자치도 동해시,철물점,,강원특별자치도 동해시 천곡로 47-1,,G21001 / 천곡동,미방문,
원주차사랑공업사,강원특별자치도 원주시,공구점,,강원특별자치도 원주시 현충로 79,,S20301 / 태장1동,미방문,
철물,강원특별자치도 정선군,철물점,,강원특별자치도 정선군 임계면 송계2길 2-1,,G21001 / 임계면,미방문,
방산철물설비,강원특별자치도 양구군,철물점,,강원특별자치도 양구군 방산면 장거리길 8,,G21001 / 방산면,미방문,
북평종합철물,강원특별자치도 정선군,철물점,,강원특별자치도 정선군 북평면 북평7길 31,,G21001 / 북평면,미방문,
강원철물건재상사,강원특별자치도 춘천시,건자재점,,강원특별자치도 춘천시 남춘로 60,,G21001 / 효자2동,미방문,
단구철물,강원특별자치도 원주시,철물점,,강원특별자치도 원주시 단구초교길 35,,G21001 / 단구동,미방문,
형제철강;철물,강원특별자치도 인제군,철물점,,강원특별자치도 인제군 북면 원통로 188-1,,G21001 / 북면,미방문,
강원철물,강원특별자치도 화천군,철물점,,강원특별자치도 화천군 간동면 간척월명로 294,,G21001 / 간동면,미방문,
성진철물건재,강원특별자치도 강릉시,건자재점,,강원특별자치도 강릉시 주문진읍 연주로 327,,G21001 / 주문진읍,미방문,
일등농자재마트,강원특별자치도 원주시,농자재점,,강원특별자치도 원주시 문막읍 문막시장1길 76,,G22199 / 문막읍,미방문,
유가공업사,강원특별자치도 화천군,공구점,,강원특별자치도 화천군 화천읍 상승로 97,,G21001 / 화천읍,미방문,
중부농자재,강원특별자치도 양구군,농자재점,,강원특별자치도 양구군 해안면 만대로 90,,G22199 / 해안면,미방문,
현산철물상회,강원특별자치도 양양군,철물점,,강원특별자치도 양양군 양양읍 남문5길 17,,G21001 / 양양읍,미방문,
제일건재,강원특별자치도 평창군,건자재점,,강원특별자치도 평창군 평창읍 후평길 1,,G21001 / 평창읍,미방문,
나연카공업사,강원특별자치도 원주시,공구점,,강원특별자치도 원주시 치악로 1913-1,,S20302 / 봉산동,미방문,
대명철물,강원특별자치도 철원군,철물점,,강원특별자치도 철원군 서면 와수로 249,,G21001 / 서면,미방문,
대구철물,강원특별자치도 삼척시,철물점,,강원특별자치도 삼척시 도계읍 도계로 313-1,,G21001 / 도계읍,미방문,
대화철물,강원특별자치도 평창군,철물점,,강원특별자치도 평창군 대화면 대화시장2길 15-2,,G21001 / 대화면,미방문,
덕성철물건재,강원특별자치도 홍천군,건자재점,,강원특별자치도 홍천군 홍천읍 진리로 32,,G21001 / 홍천읍,미방문,
갈마철물,강원특별자치도 홍천군,철물점,,강원특별자치도 홍천군 홍천읍 홍천로 478-1,,G21001 / 홍천읍,미방문,
사팔종합건재철물,강원특별자치도 영월군,건자재점,,강원특별자치도 영월군 영월읍 하송안길 113-1,,G21001 / 영월읍,미방문,
대진철물건재,강원특별자치도 평창군,건자재점,,강원특별자치도 평창군 대화면 대화중앙로 164,,G21001 / 대화면,미방문,
삼일전자.철물,강원특별자치도 원주시,철물점,,강원특별자치도 원주시 삼광1길 31-8,,G21001 / 봉산동,미방문,
신대영공업사,강원특별자치도 원주시,공구점,,강원특별자치도 원주시 문막읍 원문로 1724,,S20301 / 문막읍,미방문,
새말현대카공업사,강원특별자치도 횡성군,공구점,,강원특별자치도 횡성군 우천면 한우로 1409,,S20301 / 우천면,미방문,
이한농자재,강원특별자치도 철원군,농자재점,,강원특별자치도 철원군 서면 와수로 385,,G22199 / 서면,미방문,
노성목재지물철물,강원특별자치도 평창군,철물점,,강원특별자치도 평창군 평창읍 노성로 114,,G21002 / 평창읍,미방문,
