거래처명,구분,지역,사업자번호,대표자명,업태,종목,주소,전화번호,팩스번호,휴대폰,이메일,대신화물_지점,경동화물_지점,담당자명,담당자연락처,메모
태호전기조명,,유영찬,,,,,,,,,,,,,,
태성종합건축자재백화점,,음성군,,,,,,,,,,,,,,
대동볼트,,유영찬,,,,,,,,,,,,,,
능주철물,,유영찬,,,,,,,,,,,,,,
(주)진성이엔씨,,구미시,,,,,,,,,,,,,,
풍농자재,,유영찬,,,,,,,,,,,,,,
영진철물 유영찬,,유영찬,,,,,,,,,,,,,,
황토하우징,,유영찬,,,,,,,,,,,,,,
참조은하우스,,유영찬,,,,,,,,,,,,,,
대명철물건재,,유영찬,,,,,,,,,,,,,,
대성종합테크,,음성군,,,,,,,,,,,,,,
미래농자재,,유영찬,,,,,,,,,,,,,,
(주)성은,,충주시,,,,,,,,,,,,,,
주식회사 금강테크,,유영찬,,,,,,,,,,,,,,
도영종합상사,,진천군,,,,,,,,,,,,,,
공구팩토리,,안산시,,,,,,,,,,,,,,
민테크,,청주시,,,,,,,,,,,,,,
부원건철종합,,유영찬,,,,,,,,,,,,,,
주영공구,,부산시,,,,,,,,,,,,,,
올농자재,,논산시,,,,,,,,,,,,,,
문화전기주식회사,,유영찬,,,,,,,,,,,,,,
(유)태광전기,,유영찬,,,,,,,,,,,,,,
신흥피앤에프,,유영찬,,,,,,,,,,,,,,
벌교종합상사,,유영찬,,,,,,,,,,,,,,
부원기건주식회사,,유영찬,,,,,,,,,,,,,,
공정철물,,유영찬,,,,,,,,,,,,,,
효성툴,,원주시,,,,,,,,,,,,,,
성원기업,,서울시,,,,,,,,,,,,,,
태진상사,,서울시,,,,,,,,,,,,,,
(주)오성연마,,창원시,,,,,,,,,,,,,,
주식회사 부원,,유영찬,,,,,,,,,,,,,,
넘버원어닝,,대전시,,,,,,,,,,,,,,
도개건재 구미,,구미시,,,,,,,,,,,,,,
신신태양철물상사,,계룡시,,,,,,,,,,,,,,
